participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,DS1,DS2,DS3,DS4,DS5,DS6,DS7,target_sex,target_category,relate_length,partner_age,partner_proximity,partner_height,partner_weight,partner_attractive,partner_hygiene,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_exclude
258,1,33,2,2,3,3,4,3,3,2,5,3,3,2,4,4,3,4,4,3,4,4,4,4,4,3,2,5,5,3,2,4,5,6,2,2,4,24,1,9,2,8,6,5,3,3,2,4,3,5,2,6,2,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
259,1,38,1,1,4,4,6,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,1,5,1,5,1,4,4,4,4,7,4,4,2,2,13,36,7,8,18,1,6,7,7,7,4,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
260,1,23,2,5,5,5,4,4,3,2,4,3,3,3,2,3,4,4,4,2,4,2,4,3,3,3,3,4,5,5,5,5,4,6,2,2,4,22,1,11,7,2,6,4,4,4,3,3,3,4,5,5,3,1.55,0,0,0,0,0.55,0,0.15,-0.05,-0.25,0,0,0,0.95,0,0,0.35,0,-0.05,-0.25,0,0,1.15,0.95,0,0,0.35,0.15,-0.05,-0.25,0
261,2,53,2,30,5,5,6,4,1,2,5,5,3,2,5,1,1,3,3,3,4,3,4,4,4,2,3,5,4,4,5,5,4,5,2,2,1,59,1,3,7,6,8,4,5,6,1,4,4,4,3,3,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
262,1,29,2,5,5,7,4,4,5,2,1,4,4,1,1,4,4,4,4,4,2,4,4,2,4,5,2,7,7,5,6,3,7,7,2,2,4,21,8,6,3,10,10,3,7,5,1,7,7,5,7,1,1,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
263,1,30,1,6,6,6,10,4,2,4,2,2,4,2,2,4,2,5,4,4,2,4,4,4,4,4,4,6,6,6,6,6,6,6,2,2,4,27,2,12,4,9,9,7,5,5,5,6,6,7,6,6,6,1.55,1.35,1.15,0.95,0.75,0,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.45,0
264,1,26,2,3,2,2,3,4,4,3,5,5,2,4,5,4,5,2,3,1,4,2,4,3,3,4,2,7,4,7,4,7,6,4,2,2,5,27,1,8,3,6,9,1,2,4,1,1,1,4,3,1,4,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
265,1,40,1,25,3,3,7,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,3,3,2,2,3,7,6,5,6,5,5,6,2,2,7,34,6,9,7,10,9,5,4,6,2,3,5,5,3,4,6,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
266,2,29,1,10,3,5,9,4,3,4,2,3,4,3,3,2,3,5,3,3,1,5,3,5,4,4,2,5,5,5,5,5,5,5,2,2,4,29,3,12,10,9,9,5,7,6,6,7,6,7,7,6,6,0,0,0,0.95,0,0,0.35,0.15,0,-0.25,0,1.35,1.15,0.95,0.75,0.55,0.35,0,-0.05,-0.45,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.45,0
267,1,29,1,8,4,4,8,2,4,2,5,2,2,4,4,3,5,5,5,2,5,4,4,5,3,2,4,4,4,2,4,3,5,6,2,2,4,42,5,7,4,7,8,2,2,2,2,2,4,3,3,3,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
